Specimen properties : Specimen label,"Claire's Strip"
Specimen properties : Width,"43.52000",mm
Specimen properties : Thickness,"0.82500",mm
Specimen properties : Length,"105.25000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","-0.001","2.0"
"0.25","0.199","2.7"
"0.50","0.415","3.4"
"0.75","0.625","4.0"
"1.00","0.834","4.5"
"1.25","1.043","5.0"
"1.50","1.251","5.4"
"1.75","1.459","5.9"
"2.00","1.668","6.3"
"2.25","1.876","6.8"
"2.50","2.084","7.2"
"2.75","2.292","7.6"
"3.00","2.501","8.1"
"3.25","2.710","8.5"
"3.50","2.918","8.9"
"3.75","3.126","9.4"
"4.00","3.334","9.8"
"4.25","3.543","10.3"
"4.50","3.751","10.7"
"4.75","3.959","11.2"
"5.00","4.168","11.6"
"5.25","4.376","12.1"
"5.50","4.584","12.6"
"5.75","4.792","13.0"
"6.00","5.001","13.5"
"6.25","5.210","14.0"
"6.50","5.417","14.5"
"6.75","5.626","15.1"
"7.00","5.834","15.6"
"7.25","6.043","16.1"
"7.50","6.251","16.7"
"7.75","6.459","17.2"
"8.00","6.668","17.8"
"8.25","6.876","18.3"
"8.50","7.084","18.9"
"8.75","7.292","19.5"
"9.00","7.501","20.1"
"9.25","7.710","20.7"
"9.50","7.918","21.3"
"9.75","8.126","21.9"
"10.00","8.334","22.5"
"10.25","8.543","23.1"
"10.50","8.751","23.8"
"10.75","8.959","24.4"
"11.00","9.167","25.1"
"11.25","9.376","25.7"
"11.50","9.584","26.4"
"11.75","9.792","27.0"
"12.00","10.001","27.7"
"12.25","10.210","28.4"
"12.50","10.417","29.1"
"12.75","10.626","29.8"
"13.00","10.834","30.6"
"13.25","11.043","31.3"
"13.50","11.250","32.1"
"13.75","11.459","32.9"
"14.00","11.668","33.6"
"14.25","11.876","34.4"
"14.50","12.084","35.2"
"14.75","12.292","36.0"
"15.00","12.501","36.9"
"15.25","12.710","37.7"
"15.50","12.917","38.6"
"15.75","13.126","39.4"
"16.00","13.335","40.3"
"16.25","13.543","41.2"
"16.50","13.751","42.1"
"16.75","13.959","43.1"
"17.00","14.168","44.0"
"17.25","14.376","44.9"
"17.50","14.584","45.9"
"17.75","14.792","46.9"
"18.00","15.001","47.9"
"18.25","15.209","48.9"
"18.50","15.417","49.9"
"18.75","15.626","50.9"
"19.00","15.834","52.0"
"19.25","16.043","53.0"
"19.50","16.251","54.1"
"19.75","16.459","55.2"
"20.00","16.667","56.3"
"20.25","16.876","57.4"
"20.50","17.084","58.5"
"20.75","17.292","59.6"
"21.00","17.501","60.7"
"21.25","17.710","61.9"
"21.50","17.918","63.0"
"21.75","18.126","64.2"
"22.00","18.334","65.4"
"22.25","18.543","66.6"
"22.50","18.750","67.8"
"22.75","18.959","69.0"
"23.00","19.168","70.3"
"23.25","19.376","71.5"
"23.50","19.584","72.8"
"23.75","19.792","74.0"
"24.00","20.001","75.3"
"24.25","20.210","76.6"
"24.50","20.417","77.9"
"24.75","20.626","79.2"
"25.00","20.835","80.5"
"25.25","21.043","81.8"
"25.50","21.251","83.2"
"25.75","21.459","84.6"
"26.00","21.668","85.9"
"26.25","21.876","87.3"
"26.50","22.084","88.6"
"26.75","22.292","90.0"
"27.00","22.501","91.5"
"27.25","22.710","92.9"
"27.50","22.917","94.3"
"27.75","23.126","95.7"
"28.00","23.335","97.2"
"28.25","23.543","98.6"
"28.50","23.751","100.1"
"28.75","23.959","101.6"
"29.00","24.168","103.1"
"29.25","24.376","104.6"
"29.50","24.584","106.0"
"29.75","24.792","107.6"
"30.00","25.001","109.1"
"30.25","25.210","110.6"
"30.50","25.417","112.1"
"30.75","25.626","113.7"
"31.00","25.834","115.2"
"31.25","26.043","116.8"
"31.50","26.250","118.3"
"31.75","26.459","120.0"
"32.00","26.668","121.5"
"32.25","26.876","123.0"
"32.50","27.084","124.6"
"32.75","27.292","126.2"
"33.00","27.501","127.8"
"33.25","27.710","129.4"
"33.50","27.917","131.0"
"33.75","28.126","132.6"
"34.00","28.335","134.3"
"34.25","28.543","135.9"
"34.50","28.750","137.6"
"34.75","28.959","139.3"
"35.00","29.168","140.9"
"35.25","29.376","142.6"
"35.50","29.584","144.2"
"35.75","29.793","146.0"
"36.00","30.001","147.6"
"36.25","30.210","149.3"
"36.50","30.417","151.0"
"36.75","30.626","152.7"
"37.00","30.834","154.4"
"37.25","31.043","156.1"
"37.50","31.251","157.7"
"37.75","31.459","159.5"
"38.00","31.668","161.2"
"38.25","31.876","162.9"
"38.50","32.084","164.6"
"38.75","32.292","166.3"
"39.00","32.501","168.1"
"39.25","32.710","169.8"
"39.50","32.917","171.5"
"39.75","33.126","173.2"
"40.00","33.335","175.0"
"40.25","33.543","176.7"
"40.50","33.750","178.4"
"40.75","33.959","180.3"
"41.00","34.168","182.1"
"41.25","34.376","183.8"
"41.50","34.584","185.6"
"41.75","34.792","187.4"
"42.00","35.001","189.3"
"42.25","35.210","191.1"
"42.50","35.417","192.8"
"42.75","35.626","194.7"
"43.00","35.835","196.5"
"43.25","36.043","198.4"
"43.50","36.250","200.1"
"43.75","36.459","202.0"
"44.00","36.668","203.9"
"44.25","36.876","205.7"
"44.50","37.084","207.5"
"44.75","37.292","209.3"
"45.00","37.501","211.2"
"45.25","37.710","213.0"
"45.50","37.917","214.8"
"45.75","38.126","216.7"
"46.00","38.335","218.6"
"46.25","38.543","220.5"
"46.50","38.751","222.3"
"46.75","38.959","224.2"
"47.00","39.168","226.1"
"47.25","39.376","227.9"
"47.50","39.584","229.7"
"47.75","39.792","231.7"
"48.00","40.001","233.6"
"48.25","40.210","235.4"
"48.50","40.417","237.2"
"48.75","40.626","239.1"
"49.00","40.834","240.9"
"49.25","41.043","242.7"
"49.50","41.251","244.5"
"49.75","41.459","246.4"
"50.00","41.668","248.2"
"50.25","41.876","250.0"
"50.50","42.084","251.7"
"50.75","42.292","253.6"
"51.00","42.501","255.5"
"51.25","42.710","257.3"
"51.50","42.917","259.1"
"51.75","43.126","261.2"
"52.00","43.335","263.0"
"52.25","43.543","264.9"
"52.50","43.751","266.7"
"52.75","43.959","268.6"
"53.00","44.167","270.5"
"53.25","44.376","272.3"
"53.50","44.584","274.1"
"53.75","44.792","276.0"
"54.00","45.001","277.9"
"54.25","45.209","279.7"
"54.50","45.417","281.5"
"54.75","45.626","283.4"
"55.00","45.834","285.2"
"55.25","46.043","287.0"
"55.50","46.251","288.8"
"55.75","46.459","290.5"
"56.00","46.668","292.3"
"56.25","46.876","294.0"
"56.50","47.084","295.7"
"56.75","47.292","297.5"
"57.00","47.501","299.2"
"57.25","47.709","300.9"
"57.50","47.917","302.5"
"57.75","48.126","304.3"
"58.00","48.335","306.1"
"58.25","48.543","307.8"
"58.50","48.751","309.6"
"58.75","48.959","311.4"
"59.00","49.168","313.1"
"59.25","49.376","314.9"
"59.50","49.584","316.7"
"59.75","49.793","318.6"
"60.00","50.001","320.5"
"60.25","50.210","322.4"
"60.50","50.417","324.3"
"60.75","50.626","326.2"
"61.00","50.835","328.1"
"61.25","51.043","330.0"
"61.50","51.251","331.7"
"61.75","51.459","333.6"
"62.00","51.668","335.5"
"62.25","51.876","337.4"
"62.50","52.084","339.2"
"62.75","52.292","340.9"
"63.00","52.501","342.8"
"63.25","52.709","344.5"
"63.50","52.917","346.3"
"63.75","53.126","348.1"
"64.00","53.334","350.0"
"64.25","53.543","351.8"
"64.50","53.751","353.5"
"64.75","53.959","355.3"
"65.00","54.167","357.1"
"65.25","54.376","358.8"
"65.50","54.584","360.4"
"65.75","54.793","362.1"
"66.00","55.001","363.9"
"66.25","55.210","365.7"
"66.50","55.417","367.5"
"66.75","55.626","369.2"
"67.00","55.835","371.1"
"67.25","56.043","372.8"
"67.50","56.251","374.4"
"67.75","56.459","376.0"
"68.00","56.668","377.7"
"68.25","56.876","379.2"
"68.50","57.084","380.7"
"68.75","57.292","382.4"
"69.00","57.501","384.0"
"69.25","57.710","385.7"
"69.50","57.917","387.3"
"69.75","58.126","389.0"
"70.00","58.335","390.7"
"70.25","58.543","392.3"
"70.50","58.751","393.8"
"70.75","58.959","395.4"
"71.00","59.168","397.1"
"71.25","59.376","398.7"
"71.50","59.584","400.4"
"71.75","59.792","402.2"
"72.00","60.001","404.0"
"72.25","60.210","405.6"
"72.50","60.417","407.3"
"72.75","60.626","408.9"
"73.00","60.834","410.6"
"73.25","61.043","412.2"
"73.50","61.251","413.8"
"73.75","61.459","415.4"
"74.00","61.668","417.0"
"74.25","61.876","418.5"
"74.50","62.084","420.0"
"74.75","62.292","421.5"
"75.00","62.501","422.9"
"75.25","62.710","424.3"
"75.50","62.917","425.6"
"75.75","63.126","426.9"
"76.00","63.335","428.3"
"76.25","63.543","429.7"
"76.50","63.751","431.1"
"76.75","63.959","432.6"
"77.00","64.168","434.2"
"77.25","64.376","435.8"
"77.50","64.584","437.3"
"77.75","64.792","439.1"
"78.00","65.002","440.8"
"78.25","65.210","442.5"
"78.50","65.417","444.1"
"78.75","65.626","445.8"
"79.00","65.835","447.5"
"79.25","66.043","449.0"
"79.50","66.250","450.6"
"79.75","66.459","452.2"
"80.00","66.668","453.8"
"80.25","66.876","455.3"
"80.50","67.085","456.7"
"80.75","67.292","458.2"
"81.00","67.501","459.6"
"81.25","67.710","461.0"
"81.50","67.917","462.3"
"81.75","68.126","463.6"
"82.00","68.334","465.0"
"82.25","68.543","466.3"
"82.50","68.751","467.5"
"82.75","68.959","468.7"
"83.00","69.168","469.9"
"83.25","69.376","471.0"
"83.50","69.584","472.1"
"83.75","69.792","473.4"
"84.00","70.001","474.6"
"84.25","70.210","475.7"
"84.50","70.417","476.8"
"84.75","70.626","478.0"
"85.00","70.835","479.2"
"85.25","71.043","480.1"
"85.50","71.251","481.0"
"85.75","71.459","481.9"
"86.00","71.668","482.9"
"86.25","71.876","483.6"
"86.50","72.084","484.2"
"86.75","72.292","484.6"
"87.00","72.501","484.3"
"87.25","72.710","482.7"
"87.37","72.811","480.7"
"87.45","72.879","478.6"
"87.50","72.919","476.6"
"87.54","72.948","474.5"
"87.56","72.969","472.5"
"87.58","72.986","470.4"
"87.60","72.999","468.4"
"87.61","73.011","466.1"
"87.62","73.021","463.7"
"87.63","73.029","461.2"
"87.64","73.036","458.9"
"87.65","73.042","456.3"
"87.66","73.047","454.1"
"87.66","73.053","451.6"
"87.67","73.058","448.8"
"87.67","73.061","446.5"
"87.68","73.065","443.8"
"87.68","73.068","440.1"
"87.68","73.070","437.1"
"87.68","73.072","432.0"
"87.69","73.075","422.9"
"87.69","73.077","408.9"
"87.69","73.080","390.9"
"87.69","73.082","370.2"
"87.69","73.084","347.6"
"87.70","73.086","323.6"
"87.70","73.088","298.8"
"87.70","73.090","273.8"
