Specimen properties : Specimen label,"Emily Dogbone"
Specimen properties : Width,"19.33000",mm
Specimen properties : Thickness,"0.93800",mm
Specimen properties : Length,"105.36000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","0.000","2.0"
"0.25","0.200","2.7"
"0.50","0.417","3.3"
"0.75","0.626","3.8"
"1.00","0.835","4.2"
"1.25","1.043","4.6"
"1.50","1.252","4.9"
"1.75","1.460","5.2"
"2.00","1.669","5.5"
"2.25","1.877","5.8"
"2.50","2.085","6.1"
"2.75","2.294","6.5"
"3.00","2.502","6.8"
"3.25","2.710","7.1"
"3.50","2.918","7.4"
"3.75","3.127","7.8"
"4.00","3.335","8.1"
"4.25","3.544","8.5"
"4.50","3.752","8.8"
"4.75","3.960","9.2"
"5.00","4.169","9.5"
"5.25","4.377","9.9"
"5.50","4.585","10.2"
"5.75","4.793","10.5"
"6.00","5.002","10.9"
"6.25","5.210","11.2"
"6.50","5.419","11.5"
"6.75","5.626","11.8"
"7.00","5.835","12.2"
"7.25","6.044","12.5"
"7.50","6.252","12.9"
"7.75","6.460","13.3"
"8.00","6.669","13.6"
"8.25","6.877","14.0"
"8.50","7.085","14.4"
"8.75","7.293","14.8"
"9.00","7.502","15.2"
"9.25","7.710","15.5"
"9.50","7.919","15.9"
"9.75","8.127","16.3"
"10.00","8.335","16.7"
"10.25","8.544","17.1"
"10.50","8.752","17.6"
"10.75","8.960","18.0"
"11.00","9.168","18.4"
"11.25","9.377","18.8"
"11.50","9.585","19.2"
"11.75","9.794","19.7"
"12.00","10.002","20.1"
"12.25","10.210","20.6"
"12.50","10.419","21.0"
"12.75","10.626","21.5"
"13.00","10.835","22.0"
"13.25","11.044","22.4"
"13.50","11.252","22.9"
"13.75","11.460","23.3"
"14.00","11.669","23.8"
"14.25","11.877","24.3"
"14.50","12.085","24.8"
"14.75","12.293","25.3"
"15.00","12.502","25.8"
"15.25","12.710","26.3"
"15.50","12.919","26.8"
"15.75","13.126","27.3"
"16.00","13.335","27.9"
"16.25","13.544","28.4"
"16.50","13.752","28.9"
"16.75","13.959","29.4"
"17.00","14.169","30.0"
"17.25","14.377","30.5"
"17.50","14.585","31.1"
"17.75","14.792","31.6"
"18.00","15.002","32.2"
"18.25","15.210","32.8"
"18.50","15.419","33.4"
"18.75","15.627","33.9"
"19.00","15.835","34.5"
"19.25","16.044","35.1"
"19.50","16.252","35.7"
"19.75","16.460","36.3"
"20.00","16.669","36.9"
"20.25","16.877","37.5"
"20.50","17.085","38.1"
"20.75","17.294","38.7"
"21.00","17.502","39.4"
"21.25","17.710","40.0"
"21.50","17.919","40.6"
"21.75","18.126","41.3"
"22.00","18.335","41.9"
"22.25","18.544","42.6"
"22.50","18.752","43.2"
"22.75","18.960","43.9"
"23.00","19.169","44.6"
"23.25","19.377","45.3"
"23.50","19.585","45.9"
"23.75","19.793","46.6"
"24.00","20.001","47.2"
"24.25","20.210","48.0"
"24.50","20.419","48.6"
"24.75","20.626","49.4"
"25.00","20.835","50.1"
"25.25","21.044","50.8"
"25.50","21.252","51.5"
"25.75","21.460","52.2"
"26.00","21.669","53.0"
"26.25","21.877","53.7"
"26.50","22.085","54.4"
"26.75","22.292","55.2"
"27.00","22.502","55.9"
"27.25","22.710","56.7"
"27.50","22.919","57.4"
"27.75","23.127","58.2"
"28.00","23.335","59.0"
"28.25","23.543","59.7"
"28.50","23.752","60.5"
"28.75","23.960","61.3"
"29.00","24.168","62.1"
"29.25","24.377","62.9"
"29.50","24.585","63.7"
"29.75","24.793","64.4"
"30.00","25.002","65.3"
"30.25","25.210","66.1"
"30.50","25.419","66.9"
"30.75","25.626","67.7"
"31.00","25.835","68.6"
"31.25","26.044","69.4"
"31.50","26.252","70.3"
"31.75","26.460","71.1"
"32.00","26.668","72.0"
"32.25","26.877","72.8"
"32.50","27.085","73.7"
"32.75","27.293","74.5"
"33.00","27.502","75.4"
"33.25","27.710","76.3"
"33.50","27.919","77.1"
"33.75","28.126","78.0"
"34.00","28.335","78.9"
"34.25","28.544","79.8"
"34.50","28.752","80.7"
"34.75","28.960","81.6"
"35.00","29.169","82.6"
"35.25","29.377","83.5"
"35.50","29.585","84.4"
"35.75","29.793","85.3"
"36.00","30.002","86.3"
"36.25","30.210","87.2"
"36.50","30.419","88.2"
"36.75","30.627","89.1"
"37.00","30.835","90.1"
"37.25","31.044","91.0"
"37.50","31.252","92.0"
"37.75","31.460","92.9"
"38.00","31.669","93.9"
"38.25","31.877","94.8"
"38.50","32.085","95.8"
"38.75","32.293","96.7"
"39.00","32.502","97.6"
"39.25","32.710","98.6"
"39.50","32.919","99.6"
"39.75","33.126","100.5"
"40.00","33.335","101.4"
"40.25","33.543","102.4"
"40.50","33.752","103.4"
"40.75","33.960","104.3"
"41.00","34.169","105.4"
"41.25","34.377","106.4"
"41.50","34.585","107.4"
"41.75","34.793","108.4"
"42.00","35.002","109.4"
"42.25","35.210","110.4"
"42.50","35.419","111.5"
"42.75","35.626","112.5"
"43.00","35.835","113.6"
"43.25","36.044","114.6"
"43.50","36.252","115.7"
"43.75","36.460","116.7"
"44.00","36.669","117.8"
"44.25","36.877","118.8"
"44.50","37.085","119.9"
"44.75","37.293","120.9"
"45.00","37.502","122.0"
"45.25","37.710","123.0"
"45.50","37.919","124.1"
"45.75","38.127","125.2"
"46.00","38.335","126.2"
"46.25","38.543","127.3"
"46.50","38.752","128.3"
"46.75","38.960","129.3"
"47.00","39.169","130.4"
"47.25","39.377","131.5"
"47.50","39.585","132.5"
"47.75","39.794","133.6"
"48.00","40.002","134.6"
"48.25","40.211","135.7"
"48.50","40.419","136.8"
"48.75","40.626","137.9"
"49.00","40.835","138.9"
"49.25","41.044","140.0"
"49.50","41.252","141.1"
"49.75","41.460","142.2"
"50.00","41.669","143.3"
"50.25","41.877","144.4"
"50.50","42.085","145.5"
"50.75","42.293","146.5"
"51.00","42.502","147.6"
"51.25","42.710","148.7"
"51.50","42.919","149.8"
"51.75","43.126","150.9"
"52.00","43.335","152.0"
"52.25","43.544","153.1"
"52.50","43.752","154.2"
"52.75","43.960","155.3"
"53.00","44.169","156.4"
"53.25","44.377","157.5"
"53.50","44.585","158.6"
"53.75","44.794","159.7"
"54.00","45.002","160.8"
"54.25","45.211","162.0"
"54.50","45.419","163.1"
"54.75","45.627","164.2"
"55.00","45.835","165.4"
"55.25","46.044","166.6"
"55.50","46.252","167.7"
"55.75","46.460","168.8"
"56.00","46.669","170.0"
"56.25","46.877","171.1"
"56.50","47.085","172.2"
"56.75","47.293","173.3"
"57.00","47.502","174.5"
"57.25","47.710","175.6"
"57.50","47.918","176.7"
"57.75","48.126","177.8"
"58.00","48.335","179.0"
"58.25","48.544","180.1"
"58.50","48.752","181.2"
"58.75","48.960","182.3"
"59.00","49.169","183.4"
"59.25","49.377","184.5"
"59.50","49.585","185.5"
"59.75","49.793","186.6"
"60.00","50.002","187.7"
"60.25","50.210","188.8"
"60.50","50.419","189.9"
"60.75","50.626","191.0"
"61.00","50.835","192.1"
"61.25","51.044","193.2"
"61.50","51.252","194.3"
"61.75","51.460","195.4"
"62.00","51.669","196.4"
"62.25","51.877","197.6"
"62.50","52.085","198.7"
"62.75","52.294","199.8"
"63.00","52.502","200.9"
"63.25","52.710","202.0"
"63.50","52.919","203.1"
"63.75","53.127","204.2"
"64.00","53.335","205.2"
"64.25","53.544","206.3"
"64.50","53.752","207.4"
"64.75","53.960","208.4"
"65.00","54.169","209.6"
"65.25","54.377","210.7"
"65.50","54.585","211.8"
"65.75","54.793","212.9"
"66.00","55.002","214.0"
"66.25","55.210","215.1"
"66.50","55.419","216.3"
"66.75","55.626","217.3"
"67.00","55.835","218.4"
"67.25","56.044","219.6"
"67.50","56.252","220.7"
"67.75","56.460","221.8"
"68.00","56.668","222.9"
"68.25","56.877","224.0"
"68.50","57.085","225.1"
"68.75","57.293","226.2"
"69.00","57.502","227.3"
"69.25","57.710","228.4"
"69.50","57.919","229.5"
"69.75","58.126","230.5"
"70.00","58.335","231.6"
"70.25","58.544","232.7"
"70.50","58.752","233.7"
"70.75","58.960","234.7"
"71.00","59.168","235.7"
"71.25","59.377","236.7"
"71.50","59.585","237.7"
"71.75","59.794","238.6"
"72.00","60.002","239.6"
"72.25","60.210","240.6"
"72.50","60.419","241.6"
"72.75","60.627","242.5"
"73.00","60.835","243.4"
"73.25","61.044","244.4"
"73.50","61.252","245.3"
"73.75","61.460","246.2"
"74.00","61.668","247.1"
"74.25","61.877","248.0"
"74.50","62.085","248.9"
"74.75","62.293","249.7"
"75.00","62.502","250.5"
"75.25","62.710","251.3"
"75.50","62.919","252.0"
"75.75","63.126","252.7"
"76.00","63.335","253.1"
"76.25","63.544","253.3"
"76.50","63.752","253.5"
"76.75","63.960","253.4"
"77.00","64.168","253.0"
"77.16","64.305","251.0"
"77.24","64.365","249.0"
"77.28","64.405","247.0"
"77.32","64.434","244.9"
"77.34","64.450","242.7"
"77.35","64.462","240.4"
"77.36","64.471","238.3"
"77.37","64.477","236.1"
"77.38","64.482","233.5"
"77.38","64.484","231.1"
"77.38","64.486","226.3"
"77.38","64.489","218.7"
"77.38","64.491","209.0"
"77.39","64.493","198.0"
"77.39","64.495","185.9"
"77.39","64.497","173.1"
"77.39","64.499","159.9"
"77.39","64.501","146.6"
